horizon,horizon_role,name,strategy,condition_mode,threshold_mode,min_precision,threshold,pr_auc,roc_auc,precision,recall,f1,cv_roc_auc_mean,cv_pr_auc_mean,tn,fp,fn,tp,n_train,n_test,pos_train,pos_test
48,operational,XGBoost,scale_pos_weight=3.92,non_good,max_recall_min_precision,0.3,0.8229884338378906,0.16720445025887387,0.5229072398190046,0.0,0.0,0.0,0.5919435115535048,0.26357329288829245,133,3,26,0,645,162,131,26
48,operational,LightGBM,scale_pos_weight=3.92,non_good,max_recall_min_precision,0.3,0.9344615228250446,0.18505655405503768,0.567024886877828,0.0,0.0,0.0,0.5782851981176098,0.25982913359433124,133,3,26,0,645,162,131,26
48,operational,CatBoost,"class_weights=[1.0,3.9]",non_good,max_recall_min_precision,0.3,0.8642786126902084,0.1724499999846716,0.5220588235294117,0.0,0.0,0.0,0.600600781625036,0.2608247162791501,133,3,26,0,645,162,131,26
72,exploratory,LogisticRegression,class_weight=balanced,non_good,max_recall_min_precision,0.3,0.4323426819898459,0.2520763439563998,0.6239339019189766,0.21551724137931033,0.8928571428571429,0.3472222222222222,0.5870769838298762,0.24563130861670018,43,91,3,25,645,162,118,28
72,exploratory,RidgeClassifier,calibrated+balanced,non_good,max_recall_min_precision,0.3,0.2271883679374742,0.253502282072044,0.6273987206823027,0.23333333333333334,0.25,0.2413793103448276,0.5037338688318107,0.20672776214699806,111,23,21,7,645,162,118,28
72,exploratory,LinearSVC,calibrated+balanced,non_good,max_recall_min_precision,0.3,0.23852395432062135,0.2533735045995166,0.6271321961620469,0.2857142857142857,0.21428571428571427,0.24489795918367346,0.5035835130628623,0.20673223050700443,119,15,22,6,645,162,118,28
72,exploratory,RandomForest,class_weight=balanced_subsample,non_good,max_recall_min_precision,0.3,0.11722888974599165,0.19408374926451372,0.5876865671641791,0.22916666666666666,0.7857142857142857,0.3548387096774194,0.5958843492448942,0.23790615070301513,60,74,6,22,645,162,118,28
72,exploratory,ExtraTrees,class_weight=balanced,non_good,max_recall_min_precision,0.3,0.656788808118976,0.1960474331000996,0.5892857142857143,0.0,0.0,0.0,0.5910028229446347,0.2524981707993762,133,1,28,0,645,162,118,28
72,exploratory,HistGradientBoosting,default,non_good,max_recall_min_precision,0.3,0.9563878960380529,0.20111777477556214,0.5954157782515992,0.0,0.0,0.0,0.5758496642674115,0.23597129333163372,134,0,28,0,645,162,118,28
72,exploratory,GradientBoosting,default,non_good,max_recall_min_precision,0.3,0.7708685917001553,0.19765794502578363,0.6004797441364605,0.0,0.0,0.0,0.5461112909325263,0.21545590928628236,134,0,28,0,645,162,118,28
72,exploratory,AdaBoost,default,non_good,max_recall_min_precision,0.3,0.5020452908686326,0.1944252667301517,0.554637526652452,0.0,0.0,0.0,0.5896600293954307,0.2474848983912375,129,5,28,0,645,162,118,28
72,exploratory,GaussianNB,default,non_good,max_recall_min_precision,0.3,0.22154595272074887,0.24124068730308895,0.5999466950959488,0.20987654320987653,0.6071428571428571,0.3119266055045872,0.6113502674388691,0.25537958416241013,70,64,11,17,645,162,118,28
72,exploratory,XGBoost,scale_pos_weight=4.47,non_good,max_recall_min_precision,0.3,0.005984341818839312,0.19877367049396358,0.5986140724946695,0.203125,0.9285714285714286,0.3333333333333333,0.5597610881046098,0.21825048579444156,32,102,2,26,645,162,118,28
72,exploratory,LightGBM,scale_pos_weight=4.47,non_good,max_recall_min_precision,0.3,0.9738645432525934,0.21191752681809187,0.6151385927505331,0.0,0.0,0.0,0.5874430639517897,0.2530514087514967,133,1,28,0,645,162,118,28
72,exploratory,CatBoost,"class_weights=[1.0,4.5]",non_good,max_recall_min_precision,0.3,0.9580051788791587,0.19158950479274575,0.5754264392324093,0.0,0.0,0.0,0.5899419573816332,0.22882368255022575,134,0,28,0,645,162,118,28
