date,PM25,PM10,temp,hum,pres,wind,wind_dir,CAT,CAT_24h,CAT_48h,CAT_72h
2023-08-06,33.0,42.0,4.293389166666667,64.80894583333334,977.653375,3.55270075,264.5015,buena,preemergencia,regular,regular
2023-08-07,167.0,195.0,1.57201275,78.04282083333334,977.607625,0.8687791874999999,161.43471666666667,preemergencia,regular,regular,buena
2023-08-08,66.0,79.0,5.984942125,65.3767,968.9312083333333,2.883461541666667,232.24160208333333,regular,regular,buena,buena
2023-08-09,77.0,83.0,5.702910416666666,84.96454583333333,958.9057916666667,0.7267714166666667,169.54684583333332,regular,buena,buena,alerta
2023-08-10,49.0,56.0,5.226760416666667,79.65952083333333,959.7972916666666,2.2034794583333333,251.2368375,buena,buena,alerta,regular
2023-08-11,41.0,56.0,2.741191125,67.0850625,978.3219583333333,2.4464416666666664,264.5485291666667,buena,alerta,regular,buena
2023-08-13,107.0,111.0,3.0508220869565217,88.81896521739131,962.4871739130434,1.0770379130434784,152.34183652173914,alerta,regular,buena,alerta
2023-08-14,59.0,65.0,6.2159875,81.12900416666666,957.4552083333333,1.7039152916666669,247.67575833333333,regular,buena,alerta,preemergencia
2023-08-15,31.0,36.0,2.3528836363636363,76.41445,967.0939166666667,2.113768818181818,165.46073545454544,buena,alerta,preemergencia,regular
2023-08-17,98.0,101.0,0.5984789166666666,89.8609,974.2121666666667,0.5998731791666666,137.29692500000002,alerta,preemergencia,regular,regular
2023-08-18,116.0,124.0,1.4100045416666667,79.7406,974.1241666666666,1.257054375,208.12215833333335,preemergencia,regular,regular,buena
2023-08-19,75.0,88.0,0.6309961250000001,76.74146666666667,967.9236666666667,1.1284482500000002,177.21969708333333,regular,regular,buena,buena
2023-08-20,67.0,76.0,2.0245592083333332,83.82885,958.8884166666667,0.8329882958333333,179.045475,regular,buena,buena,buena
2023-08-23,25.0,37.0,2.2490240416666665,66.08099583333333,964.4956666666667,4.520489583333333,291.24170833333335,buena,buena,buena,buena
2023-08-24,31.0,41.0,3.1892125,69.69838750000001,971.424,3.409881791666667,289.0698333333333,buena,buena,buena,buena
2023-08-25,31.0,43.0,3.4359750000000004,69.70040833333333,978.0768333333334,2.9819540416666666,291.181625,buena,buena,buena,buena
2023-08-26,23.0,30.0,4.605955416666666,69.04132083333333,975.9549999999999,2.3466248333333333,247.03723083333333,buena,buena,buena,buena
2023-08-27,28.0,36.0,7.416552083333333,61.3259875,963.7180833333333,1.8503568333333333,224.62761791666665,buena,buena,buena,buena
2023-08-28,21.0,30.0,5.361054583333334,69.27222083333334,965.9208749999999,3.2541613333333337,280.6652291666667,buena,buena,buena,buena
2023-08-29,26.0,33.0,5.541001666666666,65.28539166666667,963.1471666666666,1.599239375,228.95146983333333,buena,buena,buena,buena
2023-08-30,22.0,29.0,2.579034875,75.86018750000001,962.9495000000001,3.2451357499999998,244.33945416666666,buena,buena,buena,buena
2023-08-31,50.0,57.0,4.8982575,73.89490416666666,957.7925,2.212326416666667,238.47678333333332,buena,buena,buena,regular
2023-09-01,25.0,32.0,3.6245550000000004,72.94234999999999,956.9963750000001,3.738352875,284.64354166666664,buena,buena,regular,regular
2023-09-02,32.0,37.0,1.5003332083333332,78.33705,969.3376666666667,1.480126375,247.59474375,buena,regular,regular,regular
2023-09-03,64.0,70.0,1.8512112541666665,68.55340833333334,976.2049166666667,1.885885,238.40961666666666,regular,regular,regular,regular
2023-09-04,75.0,93.0,2.1506706916666665,62.376245833333336,979.3797083333334,1.1909602916666666,214.03915833333335,regular,regular,regular,regular
2023-09-05,65.0,88.0,2.7353844583333333,55.49223333333333,974.9447083333333,2.5251422083333335,131.91956416666667,regular,regular,regular,regular
2023-09-06,74.0,86.0,4.0232850000000004,80.43157083333334,970.0140833333334,1.296772875,156.85330583333334,regular,regular,regular,regular
2023-09-07,59.0,69.0,4.5186775,80.30323333333332,970.8768333333334,0.8846324999999999,182.37987083333334,regular,regular,regular,buena
2023-09-08,54.0,67.0,5.9953070833333335,73.46232916666666,970.930875,1.0558231,204.85604166666667,regular,regular,buena,buena
2023-09-09,55.0,62.0,4.139027916666667,78.96965833333333,960.6853333333333,1.8368476666666667,197.14394166666668,regular,buena,buena,buena
2023-09-10,30.0,39.0,5.335471666666667,68.47472916666668,959.6424583333334,1.395467125,245.24272916666666,buena,buena,buena,buena
2023-09-11,23.0,32.0,4.2086525,75.22001666666667,965.8265833333334,2.511256791666667,276.810815,buena,buena,buena,buena
2023-09-12,26.0,37.0,5.9499779166666675,59.9873125,972.4830416666667,3.4488013333333334,246.88466666666667,buena,buena,buena,buena
2023-09-13,26.0,38.0,7.099742916666667,63.21445,965.291625,3.010135875,277.7217541666667,buena,buena,buena,regular
2023-09-16,31.0,37.0,3.4647464458333332,78.67925000000001,956.163375,1.1993059166666666,213.972240875,buena,buena,regular,alerta
2023-09-17,32.0,38.0,2.74976375,66.77459166666667,974.139,2.0215107083333335,255.03736416666666,buena,regular,alerta,preemergencia
2023-09-18,53.0,62.0,2.208830331666667,69.05870833333333,980.0694166666667,1.5943840125,246.24166666666667,regular,alerta,preemergencia,regular
2023-09-19,94.0,109.0,1.816947625,61.85079166666667,982.6944583333334,1.034222125,183.9566125,alerta,preemergencia,regular,regular
2023-09-20,136.0,168.0,1.6200491666666668,64.909725,974.9245833333333,0.8606825333333333,175.10915,preemergencia,regular,regular,buena
2023-09-21,73.0,98.0,4.228590541666667,60.313525,972.4867083333334,1.3122525,195.322825,regular,regular,buena,regular
2023-09-22,60.0,82.0,4.33316125,58.10485,972.455375,1.6433975833333332,211.42733750000002,regular,buena,regular,buena
2023-09-23,41.0,58.0,5.2315949999999996,52.66917916666667,975.0477500000001,2.5943872083333335,257.2736791666667,buena,regular,buena,buena
2023-09-24,53.0,68.0,4.11706035,57.75225416666667,976.892875,1.9361465000000002,226.03005541666667,regular,buena,buena,buena
2023-09-25,33.0,49.0,5.322750833333333,55.942145833333335,975.616875,3.1681660416666664,233.84941041666664,buena,buena,buena,buena
2023-09-26,10.0,33.0,5.770293333333334,61.07454166666667,974.1140416666667,5.846302916666667,293.20008333333334,buena,buena,buena,buena
2023-09-27,24.0,34.0,5.9365491666666665,73.20931666666667,963.2258333333333,2.356535,248.3790875,buena,buena,buena,buena
2023-09-28,35.0,44.0,6.221764583333333,65.51085,981.005875,1.7512893583333333,224.17363833333332,buena,buena,buena,buena
2023-09-29,32.0,46.0,8.3092075,52.6663625,981.3161249999999,1.0866381083333334,214.86930833333335,buena,buena,buena,buena
2023-09-30,33.0,49.0,7.77251015,52.530904166666666,970.0996666666666,1.6699766916666665,190.50407166666665,buena,buena,buena,buena
2023-10-01,16.0,27.0,6.538856666666667,58.723083333333335,969.129625,3.918145125,286.29850833333336,buena,buena,buena,buena
2023-10-02,17.0,28.0,6.743385,59.80683333333334,973.6059166666668,2.1603426249999997,278.6188333333333,buena,buena,buena,buena
2023-10-03,17.0,27.0,8.109661666666666,61.70932083333333,977.942375,2.2194587916666664,264.2991,buena,buena,buena,buena
2023-10-04,12.0,26.0,8.025089166666666,59.20690833333333,974.9225833333334,4.549735041666667,287.3473333333333,buena,buena,buena,buena
2023-10-05,15.0,29.0,5.949065,66.88514583333334,961.2585833333333,5.231308,288.0258333333333,buena,buena,buena,buena
2023-10-06,14.0,21.0,4.476322083333334,61.573975,969.1314583333333,5.3449220833333335,286.50983333333335,buena,buena,buena,buena
2023-10-09,14.0,18.0,5.949535833333333,62.39247916666667,964.697125,4.978300958333333,283.08605833333337,buena,buena,buena,buena
2023-10-10,37.0,48.0,3.6837508741666665,56.27483333333333,978.59825,2.23705625,256.587825,buena,buena,buena,buena
2023-10-11,33.666666666666664,28.0,6.250263749999999,56.681675000000006,983.7770416666667,2.5170815833333333,204.77410791666668,buena,buena,buena,buena
2023-10-12,30.333333333333332,23.0,7.80230625,54.27990416666666,981.9523333333333,1.7503527916666668,175.21080833333335,buena,buena,buena,buena
2023-10-13,27.0,33.0,7.728270416666667,63.1077875,978.0686666666667,1.6049680833333333,189.34635416666666,buena,buena,buena,buena
2023-10-14,23.666666666666664,31.0,8.809730416666666,55.910175,976.8215833333334,3.073342333333333,246.87216666666666,buena,buena,buena,buena
2023-10-15,20.333333333333332,23.0,7.739548333333333,58.251958333333334,976.5315,3.867740833333333,278.9904583333333,buena,buena,buena,buena
2023-10-16,17.0,31.0,8.058865416666666,54.21687083333333,980.7205,3.4727295833333334,283.8804166666667,buena,buena,buena,buena
2023-10-17,24.0,41.0,11.25358,54.66180416666666,978.9457083333333,1.9281895416666668,260.6514416666667,buena,buena,buena,buena
2023-10-18,20.0,39.0,12.3693375,48.659812499999994,971.525125,3.195020833333333,214.60215416666665,buena,buena,buena,buena
2023-10-19,7.0,19.0,11.013757499999999,50.79125833333333,973.1348333333334,3.970296083333333,279.1577375,buena,buena,buena,buena
2023-10-20,20.0,39.0,9.374281666666667,48.8319375,974.7988333333333,2.2767129583333334,266.35352916666665,buena,buena,buena,buena
2023-10-21,22.0,37.0,9.755734166666667,49.64895833333333,977.8577916666667,1.6374825416666667,195.73732875,buena,buena,buena,buena
2023-10-22,20.0,36.0,10.030653208333334,46.54408333333333,977.9134166666666,1.4488956249999998,205.3499416666667,buena,buena,buena,buena
2023-10-23,47.0,68.0,10.354132083333333,61.518675,979.9154166666667,1.3298479166666666,197.48501666666667,buena,buena,buena,buena
2023-10-24,8.0,16.0,10.121349166666667,61.110524999999996,978.4339583333334,4.114624416666667,278.856975,buena,buena,buena,buena
2023-10-25,8.0,22.0,9.519692916666667,55.721849999999996,971.4097499999999,4.8477421875,286.5905833333333,buena,buena,buena,buena
2023-10-29,26.0,29.0,2.078187041666667,72.35146666666667,956.9375416666667,1.9946549166666667,257.56601666666666,buena,buena,buena,buena
2023-10-30,48.0,54.0,4.017355583333333,62.7101125,976.763875,1.2994731666666668,151.31885,buena,buena,buena,buena
2023-10-31,32.0,46.0,6.8389491304347825,57.83489130434782,983.5796956521739,1.0059684391304347,146.62050739130436,buena,buena,buena,buena
2023-11-01,43.0,56.0,9.0786333625,48.07318333333333,979.8416666666667,1.3663647541666668,229.49468333333334,buena,buena,buena,buena
2023-11-02,10.0,25.0,8.959067916666667,46.57181666666667,973.9250416666667,4.4903756249999995,274.6435833333333,buena,buena,buena,buena
2023-11-03,9.0,17.0,8.731594583333333,55.9750125,973.3195416666667,3.67541625,295.66633333333334,buena,buena,buena,buena
2023-11-04,19.0,22.0,7.412486666666666,76.599025,963.0664166666667,1.6822253333333332,203.1539679166667,buena,buena,buena,buena
2023-11-05,28.0,35.0,8.08882125,56.99417916666667,966.97725,2.7823385833333334,234.0500375,buena,buena,buena,buena
2023-11-06,32.0,39.0,8.336015416666667,70.95360000000001,965.0435000000001,1.7404634583333334,227.6408625,buena,buena,buena,buena
